subject,condition,block,group,item,word,phoneme,accuracy,raw_rt
1,target1,block1,1,1,thought,th,1,2875
1,target2,block1,1,2,black,no,1,1419
1,target2,block1,1,3,battle,no,0,2701
1,target1,block1,1,4,think,th,1,1135
1,filler,block1,1,5,fell,fell,1,1408
1,target1,block1,2,6,theme,th,1,1595
1,target2,block1,2,7,faster,no,1,986
1,target1,block1,2,8,worth,th,1,1144
1,target2,block1,2,9,bond,o,0,5567
1,filler,block1,2,10,leak,leak,1,1694
1,target2,block1,3,11,cap,no,0,2507
1,target1,block1,3,12,path,th,0,1076
1,target2,block1,3,13,pat,no,1,1185
1,target1,block1,3,14,sigh,s,0,1666
1,filler,block1,3,15,tick,tick,1,936
1,target1,block1,4,16,growth,th,0,1427
1,target2,block1,4,17,bad,no,0,1462
1,target2,block1,4,18,mop,o,1,1031
1,target1,block1,4,19,myth,th,1,1175
1,filler,block1,4,20,core,core,1,1513
1,target2,block1,5,21,foster,o,1,1329
1,target1,block1,5,22,seem,s,1,845
1,target1,block1,5,23,path,th,1,585
1,target2,block1,5,24,block,o,1,889
1,filler,block1,5,25,tear,tear,1,1052
1,target1,block1,6,26,growth,th,1,548
1,target2,block1,6,27,bond,o,1,811
1,target2,block1,6,28,bad,no,1,1057
1,target1,block1,6,29,miss,s,1,797
1,filler,block1,6,30,male,male,1,1398
1,target1,block1,7,31,sought,s,1,823
1,target2,block1,7,32,cap,no,1,649
1,target2,block1,7,33,map,no,1,734
1,target1,block1,7,34,worth,th,0,905
1,filler,block1,7,35,guest,guest,1,726
1,target2,block1,8,36,battle,no,1,998
1,target1,block1,8,37,sigh,s,1,683
1,target1,block1,8,38,think,th,0,645
1,target2,block1,8,39,pot,o,1,908
1,filler,block1,8,40,dental,dental,1,952
2,target1,block1,1,1,thought,th,1,2014
2,target2,block1,1,2,black,no,1,2034
2,target2,block1,1,3,battle,no,0,2222
2,target1,block1,1,4,think,th,1,944
2,filler,block1,1,5,fell,fell,1,2113
2,target1,block1,2,6,theme,th,1,1953
2,target2,block1,2,7,faster,no,1,1344
2,target1,block1,2,8,worth,th,1,1202
2,target2,block1,2,9,band,no,1,1755
2,filler,block1,2,10,leak,leak,1,1377
2,target2,block1,3,11,cop,o,1,2023
2,target1,block1,3,12,pass,s,1,1315
2,target2,block1,3,13,pat,no,1,1163
2,target1,block1,3,14,thigh,th,1,1604
2,filler,block1,3,15,tick,tick,1,1114
2,target1,block1,4,16,gross,s,1,1947
2,target2,block1,4,17,bod,o,1,2234
2,target2,block1,4,18,map,no,0,1514
2,target1,block1,4,19,myth,th,1,814
2,filler,block1,4,20,core,core,1,993
2,target2,block1,5,21,foster,o,1,1514
2,target1,block1,5,22,seem,s,1,937
2,target1,block1,5,23,path,th,1,773
2,target2,block1,5,24,block,o,1,2461
2,filler,block1,5,25,tear,tear,1,1183
2,target1,block1,6,26,growth,th,1,2263
2,target2,block1,6,27,bond,o,1,1314
2,target2,block1,6,28,bod,o,0,779
2,target1,block1,6,29,miss,s,1,674
2,filler,block1,6,30,male,male,1,1054
2,target1,block1,7,31,sought,s,1,1703
2,target2,block1,7,32,cap,no,1,1173
2,target2,block1,7,33,map,no,1,1274
2,target1,block1,7,34,worse,s,1,1164
2,filler,block1,7,35,guest,guest,1,963
2,target2,block1,8,36,battle,no,1,1554
2,target1,block1,8,37,sigh,s,1,1263
2,target1,block1,8,38,sink,s,1,981
2,target2,block1,8,39,pot,o,1,1104
2,filler,block1,8,40,dental,dental,1,1182
3,target1,block1,1,1,thought,th,1,1204
3,target2,block1,1,2,black,no,1,1286
3,target2,block1,1,3,bottle,o,1,3544
3,target1,block1,1,4,think,th,1,1078
3,filler,block1,1,5,fell,fell,1,1518
3,target1,block1,2,6,theme,th,1,2099
3,target2,block1,2,7,faster,no,1,1219
3,target1,block1,2,8,worth,th,1,1963
3,target2,block1,2,9,band,no,1,1183
3,filler,block1,2,10,leak,leak,1,1631
3,target2,block1,3,11,cop,o,1,2587
3,target1,block1,3,12,path,th,0,3414
3,target2,block1,3,13,pat,no,1,1158
3,target1,block1,3,14,sigh,s,0,3796
3,filler,block1,3,15,tick,tick,1,1123
3,target1,block1,4,16,growth,th,0,1178
3,target2,block1,4,17,bod,o,1,1978
3,target2,block1,4,18,mop,o,1,2320
3,target1,block1,4,19,myth,th,1,2157
3,filler,block1,4,20,core,core,1,1259
3,target2,block1,5,21,foster,o,1,1228
3,target1,block1,5,22,seem,s,1,770
3,target1,block1,5,23,path,th,1,3936
3,target2,block1,5,24,block,o,1,1038
3,filler,block1,5,25,tear,tear,1,912
3,target1,block1,6,26,growth,th,1,1912
3,target2,block1,6,27,bond,o,1,933
3,target2,block1,6,28,bad,no,1,914
3,target1,block1,6,29,miss,s,1,689
3,filler,block1,6,30,male,male,1,959
3,target1,block1,7,31,sought,s,1,2301
3,target2,block1,7,32,cap,no,1,720
3,target2,block1,7,33,map,no,1,720
3,target1,block1,7,34,worth,th,0,1773
3,filler,block1,7,35,guest,guest,1,980
3,target2,block1,8,36,battle,no,1,1004
3,target1,block1,8,37,sigh,s,1,1546
3,target1,block1,8,38,think,th,0,650
3,target2,block1,8,39,pot,o,1,1911
3,filler,block1,8,40,dental,dental,1,1270
4,target1,block1,1,1,thought,th,1,1129
4,target2,block1,1,2,black,no,1,746
4,target2,block1,1,3,bottle,o,1,1097
4,target1,block1,1,4,think,th,1,711
4,filler,block1,1,5,fell,fell,1,1084
4,target1,block1,2,6,seem,s,0,824
4,target2,block1,2,7,faster,no,1,796
4,target1,block1,2,8,worse,s,0,1245
4,target2,block1,2,9,band,no,1,1367
4,filler,block1,2,10,leak,leak,1,1590
4,target2,block1,3,11,cop,o,1,1813
4,target1,block1,3,12,pass,s,1,919
4,target2,block1,3,13,pat,no,1,2851
4,target1,block1,3,14,sigh,s,0,1578
4,filler,block1,3,15,tick,tick,1,1082
4,target1,block1,4,16,growth,th,0,1760
4,target2,block1,4,17,bod,o,1,1422
4,target2,block1,4,18,mop,o,1,945
4,target1,block1,4,19,myth,th,1,1649
4,filler,block1,4,20,core,core,1,1493
4,target2,block1,5,21,foster,o,1,1244
4,target1,block1,5,22,seem,s,1,2294
4,target1,block1,5,23,path,th,1,870
4,target2,block1,5,24,block,o,1,644
4,filler,block1,5,25,tear,tear,1,752
4,target1,block1,6,26,growth,th,1,970
4,target2,block1,6,27,bond,o,1,1101
4,target2,block1,6,28,bad,no,1,745
4,target1,block1,6,29,miss,s,1,1253
4,filler,block1,6,30,male,male,1,1760
4,target1,block1,7,31,sought,s,1,2647
4,target2,block1,7,32,cap,no,1,725
4,target2,block1,7,33,map,no,1,663
4,target1,block1,7,34,worse,s,1,3442
4,filler,block1,7,35,guest,guest,1,797
4,target2,block1,8,36,battle,no,1,1192
4,target1,block1,8,37,sigh,s,1,1300
4,target1,block1,8,38,sink,s,1,1022
4,target2,block1,8,39,pot,o,1,743
4,filler,block1,8,40,dental,dental,1,961
5,target1,block1,1,1,thought,th,1,2067
5,target2,block1,1,2,black,no,1,3326
5,target2,block1,1,3,bottle,o,1,6187
5,target1,block1,1,4,think,th,1,3002
5,filler,block1,1,5,fell,fell,1,1891
5,target1,block1,2,6,theme,th,1,1558
5,target2,block1,2,7,faster,no,1,2153
5,target1,block1,2,8,worse,s,0,4589
5,target2,block1,2,9,band,no,1,1503
5,filler,block1,2,10,leak,leak,1,2457
5,target2,block1,3,11,cop,o,1,1456
5,target1,block1,3,12,pass,s,1,1887
5,target2,block1,3,13,pat,no,1,2678
5,target1,block1,3,14,thigh,th,1,2032
5,filler,block1,3,15,tick,tick,1,1130
5,target1,block1,4,16,gross,s,1,1443
5,target2,block1,4,17,bod,o,1,4641
5,target2,block1,4,18,mop,o,1,1473
5,target1,block1,4,19,myth,th,1,803
5,filler,block1,4,20,core,core,1,1622
5,target2,block1,5,21,foster,o,1,2311
5,target1,block1,5,22,seem,s,1,914
5,target1,block1,5,23,path,th,1,1397
5,target2,block1,5,24,block,o,1,1822
5,filler,block1,5,25,tear,tear,1,1387
5,target1,block1,6,26,growth,th,1,1082
5,target2,block1,6,27,bond,o,1,1430
5,target2,block1,6,28,bad,no,1,1050
5,target1,block1,6,29,miss,s,1,474
5,filler,block1,6,30,male,male,1,1539
5,target1,block1,7,31,sought,s,1,1461
5,target2,block1,7,32,cap,no,1,694
5,target2,block1,7,33,map,no,1,547
5,target1,block1,7,34,worse,s,1,1424
5,filler,block1,7,35,guest,guest,1,744
5,target2,block1,8,36,battle,no,1,2015
5,target1,block1,8,37,sigh,s,1,660
5,target1,block1,8,38,sink,s,1,689
5,target2,block1,8,39,pot,o,1,1114
5,filler,block1,8,40,dental,dental,1,1236
6,target1,block1,1,1,thought,th,1,1995
6,target2,block1,1,2,black,no,1,974
6,target2,block1,1,3,battle,no,0,1084
6,target1,block1,1,4,think,th,1,754
6,filler,block1,1,5,fell,fell,1,1593
6,target1,block1,2,6,theme,th,1,2153
6,target2,block1,2,7,faster,no,1,1374
6,target1,block1,2,8,worth,th,1,5834
6,target2,block1,2,9,band,no,1,1405
6,filler,block1,2,10,leak,leak,1,1354
6,target2,block1,3,11,cop,o,1,3132
6,target1,block1,3,12,pass,s,1,3472
6,target2,block1,3,13,pat,no,1,1612
6,target1,block1,3,14,sigh,s,0,2242
6,filler,block1,3,15,tick,tick,1,1202
6,target1,block1,4,16,growth,th,0,1804
