"subject","item","sound","block_contrast","type","block_G","response","adjusted_response_time"
1,1,"0.5","block1","Consonant","block1","1",NA
1,2,"-0.5","block1","Vowel","block1","1",209.125
1,3,"-0.5","block1","Vowel","block1","0",1491.125
1,4,"0.5","block1","Consonant","block1","1",-74.875
1,5,"0.5","block1","Consonant","block1","1",385.125
1,6,"-0.5","block1","Vowel","block1","1",-223.875
1,7,"0.5","block1","Consonant","block1","1",-65.875
1,8,"-0.5","block1","Vowel","block1","0",NA
1,9,"-0.5","block1","Vowel","block1","0",1297.125
1,10,"0.5","block1","Consonant","block1","0",-133.875
1,11,"-0.5","block1","Vowel","block1","1",-24.875
1,12,"0.5","block1","Consonant","block1","0",456.125
1,13,"0.5","block1","Consonant","block1","0",217.125
1,14,"-0.5","block1","Vowel","block1","0",252.125
1,15,"-0.5","block1","Vowel","block1","1",-178.875
1,16,"0.5","block1","Consonant","block1","1",-34.875
1,17,"-0.5","block1","Vowel","block1","1",119.125
1,18,"0.5","block1","Consonant","block1","1",-364.875
1,19,"0.5","block1","Consonant","block1","1",-624.875
1,20,"-0.5","block1","Vowel","block1","1",-320.875
1,21,"0.5","block1","Consonant","block1","1",-661.875
1,22,"-0.5","block1","Vowel","block1","1",-398.875
1,23,"-0.5","block1","Vowel","block1","1",-152.875
1,24,"0.5","block1","Consonant","block1","1",-412.875
1,25,"0.5","block1","Consonant","block1","1",-386.875
1,26,"-0.5","block1","Vowel","block1","1",-560.875
1,27,"-0.5","block1","Vowel","block1","1",-475.875
1,28,"0.5","block1","Consonant","block1","0",-304.875
1,29,"-0.5","block1","Vowel","block1","1",-211.875
1,30,"0.5","block1","Consonant","block1","1",-526.875
1,31,"0.5","block1","Consonant","block1","0",-564.875
1,32,"-0.5","block1","Vowel","block1","1",-301.875
1,33,"-0.5","block2","Vowel","block2","1",-156.125
1,34,"0.5","block2","Consonant","block2","0",599.875
1,35,"-0.5","block2","Vowel","block2","1",18.875
1,36,"0.5","block2","Consonant","block2","1",-361.125
1,37,"0.5","block2","Consonant","block2","0",716.875
1,38,"-0.5","block2","Vowel","block2","1",-256.125
1,39,"-0.5","block2","Vowel","block2","1",-236.125
1,40,"0.5","block2","Consonant","block2","1",76.875
1,41,"0.5","block2","Consonant","block2","1",-305.125
1,42,"-0.5","block2","Vowel","block2","1",-136.125
1,43,"0.5","block2","Consonant","block2","1",-325.125
1,44,"-0.5","block2","Vowel","block2","0",-388.125
1,45,"-0.5","block2","Vowel","block2","0",-296.125
1,46,"0.5","block2","Consonant","block2","0",835.875
1,47,"-0.5","block2","Vowel","block2","1",-414.125
