"subject","item","sound","block","type","block_G","response","adjusted_response_time"
1,1,"0.5","0.5","Consonant","block1","1",NA
1,2,"-0.5","0.5","Vowel","block1","1",209.125
1,3,"-0.5","0.5","Vowel","block1","0",1491.125
1,4,"0.5","0.5","Consonant","block1","1",-74.875
1,5,"0.5","0.5","Consonant","block1","1",385.125
1,6,"-0.5","0.5","Vowel","block1","1",-223.875
1,7,"0.5","0.5","Consonant","block1","1",-65.875
1,8,"-0.5","0.5","Vowel","block1","0",NA
1,9,"-0.5","0.5","Vowel","block1","0",1297.125
1,10,"0.5","0.5","Consonant","block1","0",-133.875
1,11,"-0.5","0.5","Vowel","block1","1",-24.875
1,12,"0.5","0.5","Consonant","block1","0",456.125
1,13,"0.5","0.5","Consonant","block1","0",217.125
1,14,"-0.5","0.5","Vowel","block1","0",252.125
1,15,"-0.5","0.5","Vowel","block1","1",-178.875
1,16,"0.5","0.5","Consonant","block1","1",-34.875
1,17,"-0.5","0.5","Vowel","block1","1",119.125
1,18,"0.5","0.5","Consonant","block1","1",-364.875
1,19,"0.5","0.5","Consonant","block1","1",-624.875
1,20,"-0.5","0.5","Vowel","block1","1",-320.875
1,21,"0.5","0.5","Consonant","block1","1",-661.875
1,22,"-0.5","0.5","Vowel","block1","1",-398.875
1,23,"-0.5","0.5","Vowel","block1","1",-152.875
1,24,"0.5","0.5","Consonant","block1","1",-412.875
1,25,"0.5","0.5","Consonant","block1","1",-386.875
1,26,"-0.5","0.5","Vowel","block1","1",-560.875
1,27,"-0.5","0.5","Vowel","block1","1",-475.875
1,28,"0.5","0.5","Consonant","block1","0",-304.875
1,29,"-0.5","0.5","Vowel","block1","1",-211.875
1,30,"0.5","0.5","Consonant","block1","1",-526.875
1,31,"0.5","0.5","Consonant","block1","0",-564.875
1,32,"-0.5","0.5","Vowel","block1","1",-301.875
1,33,"-0.5","-0.5","Vowel","block4","0",539.375
1,34,"0.5","-0.5","Consonant","block4","1",-8.625
1,35,"-0.5","-0.5","Vowel","block4","1",-358.625
1,36,"0.5","-0.5","Consonant","block4","0",263.375
1,37,"0.5","-0.5","Consonant","block4","1",203.375
1,38,"-0.5","-0.5","Vowel","block4","1",51.375
1,39,"-0.5","-0.5","Vowel","block4","1",115.375
1,40,"0.5","-0.5","Consonant","block4","1",479.375
1,41,"0.5","-0.5","Consonant","block4","1",53.375
1,42,"-0.5","-0.5","Vowel","block4","1",-139.625
1,43,"0.5","-0.5","Consonant","block4","1",-210.625
1,44,"-0.5","-0.5","Vowel","block4","1",261.375
1,45,"-0.5","-0.5","Vowel","block4","0",1109.375
1,46,"0.5","-0.5","Consonant","block4","1",-170.625
1,47,"-0.5","-0.5","Vowel","block4","1",23.375
1,48,"0.5","-0.5","Consonant","block4","1",331.375
1,49,"-0.5","-0.5","Vowel","block4","0",-209.625
1,50,"0.5","-0.5","Consonant","block4","0",213.375
1,51,"-0.5","-0.5","Vowel","block4","1",-206.625
1,52,"0.5","-0.5","Consonant","block4","1",-38.625
1,53,"-0.5","-0.5","Vowel","block4","1",-563.625
1,54,"0.5","-0.5","Consonant","block4","1",115.375
1,55,"0.5","-0.5","Consonant","block4","1",-114.625
1,56,"-0.5","-0.5","Vowel","block4","1",-222.625
1,57,"0.5","-0.5","Consonant","block4","1",538.375
1,58,"-0.5","-0.5","Vowel","block4","1",114.375
1,59,"-0.5","-0.5","Vowel","block4","1",-321.625
1,60,"0.5","-0.5","Consonant","block4","0",-373.625
1,61,"0.5","-0.5","Consonant","block4","1",-60.625
1,62,"-0.5","-0.5","Vowel","block4","1",-342.625
1,63,"-0.5","-0.5","Vowel","block4","1",99.375
1,64,"0.5","-0.5","Consonant","block4","1",396.375
2,1,"0.5","0.5","Consonant","block1","1",766.625
2,2,"-0.5","0.5","Vowel","block1","1",786.625
2,3,"-0.5","0.5","Vowel","block1","0",974.625
2,4,"0.5","0.5","Consonant","block1","1",-303.375
2,5,"0.5","0.5","Consonant","block1","1",705.625
2,6,"-0.5","0.5","Vowel","block1","1",96.625
2,7,"0.5","0.5","Consonant","block1","1",-45.375
2,8,"-0.5","0.5","Vowel","block1","1",507.625
2,9,"-0.5","0.5","Vowel","block1","1",775.625
2,10,"0.5","0.5","Consonant","block1","1",67.625
2,11,"-0.5","0.5","Vowel","block1","1",-84.375
2,12,"0.5","0.5","Consonant","block1","1",356.625
2,13,"0.5","0.5","Consonant","block1","1",699.625
2,14,"-0.5","0.5","Vowel","block1","1",986.625
2,15,"-0.5","0.5","Vowel","block1","0",266.625
2,16,"0.5","0.5","Consonant","block1","1",-433.375
2,17,"-0.5","0.5","Vowel","block1","1",266.625
2,18,"0.5","0.5","Consonant","block1","1",-310.375
2,19,"0.5","0.5","Consonant","block1","1",-474.375
2,20,"-0.5","0.5","Vowel","block1","1",1213.625
2,21,"0.5","0.5","Consonant","block1","1",1015.625
2,22,"-0.5","0.5","Vowel","block1","1",66.625
2,23,"-0.5","0.5","Vowel","block1","0",-468.375
2,24,"0.5","0.5","Consonant","block1","1",-573.375
2,25,"0.5","0.5","Consonant","block1","1",455.625
2,26,"-0.5","0.5","Vowel","block1","1",-74.375
2,27,"-0.5","0.5","Vowel","block1","1",26.625
2,28,"0.5","0.5","Consonant","block1","1",-83.375
2,29,"-0.5","0.5","Vowel","block1","1",306.625
2,30,"0.5","0.5","Consonant","block1","1",15.625
2,31,"0.5","0.5","Consonant","block1","1",-266.375
2,32,"-0.5","0.5","Vowel","block1","1",-143.375
2,33,"-0.5","-0.5","Vowel","block4","1",943.75
2,34,"0.5","-0.5","Consonant","block4","1",-131.25
2,35,"-0.5","-0.5","Vowel","block4","1",292.75
2,36,"0.5","-0.5","Consonant","block4","1",539.75
2,37,"0.5","-0.5","Consonant","block4","1",31.75
2,38,"-0.5","-0.5","Vowel","block4","1",-209.25
2,39,"-0.5","-0.5","Vowel","block4","1",190.75
2,40,"0.5","-0.5","Consonant","block4","1",281.75
2,41,"0.5","-0.5","Consonant","block4","1",-89.25
2,42,"-0.5","-0.5","Vowel","block4","1",214.75
2,43,"0.5","-0.5","Consonant","block4","0",-178.25
2,44,"-0.5","-0.5","Vowel","block4","0",-209.25
2,45,"-0.5","-0.5","Vowel","block4","0",341.75
2,46,"0.5","-0.5","Consonant","block4","1",-359.25
2,47,"-0.5","-0.5","Vowel","block4","1",1048.75
2,48,"0.5","-0.5","Consonant","block4","1",-240.25
2,49,"-0.5","-0.5","Vowel","block4","1",761.75
2,50,"0.5","-0.5","Consonant","block4","1",790.75
2,51,"-0.5","-0.5","Vowel","block4","1",71.75
2,52,"0.5","-0.5","Consonant","block4","1",-120.25
2,53,"-0.5","-0.5","Vowel","block4","1",-311.25
2,54,"0.5","-0.5","Consonant","block4","1",-419.25
2,55,"0.5","-0.5","Consonant","block4","1",523.75
2,56,"-0.5","-0.5","Vowel","block4","1",440.75
2,57,"0.5","-0.5","Consonant","block4","1",409.75
2,58,"-0.5","-0.5","Vowel","block4","1",240.75
2,59,"-0.5","-0.5","Vowel","block4","1",-30.25
2,60,"0.5","-0.5","Consonant","block4","1",391.75
2,61,"0.5","-0.5","Consonant","block4","1",385.75
2,62,"-0.5","-0.5","Vowel","block4","0",11.75
2,63,"-0.5","-0.5","Vowel","block4","1",500.75
2,64,"0.5","-0.5","Consonant","block4","1",-289.25
3,1,"0.5","0.5","Consonant","block1","1",-2.5
3,2,"-0.5","0.5","Vowel","block1","1",79.5
3,3,"-0.5","0.5","Vowel","block1","1",2337.5
3,4,"0.5","0.5","Consonant","block1","1",-128.5
3,5,"0.5","0.5","Consonant","block1","1",892.5
3,6,"-0.5","0.5","Vowel","block1","1",12.5
3,7,"0.5","0.5","Consonant","block1","1",756.5
3,8,"-0.5","0.5","Vowel","block1","1",-23.5
3,9,"-0.5","0.5","Vowel","block1","1",1380.5
3,10,"0.5","0.5","Consonant","block1","0",2207.5
3,11,"-0.5","0.5","Vowel","block1","1",-48.5
3,12,"0.5","0.5","Consonant","block1","0",2589.5
3,13,"0.5","0.5","Consonant","block1","0",-28.5
3,14,"-0.5","0.5","Vowel","block1","1",771.5
3,15,"-0.5","0.5","Vowel","block1","1",1113.5
3,16,"0.5","0.5","Consonant","block1","1",950.5
3,17,"-0.5","0.5","Vowel","block1","1",21.5
3,18,"0.5","0.5","Consonant","block1","1",-436.5
3,19,"0.5","0.5","Consonant","block1","1",2729.5
3,20,"-0.5","0.5","Vowel","block1","1",-168.5
3,21,"0.5","0.5","Consonant","block1","1",705.5
3,22,"-0.5","0.5","Vowel","block1","1",-273.5
3,23,"-0.5","0.5","Vowel","block1","1",-292.5
3,24,"0.5","0.5","Consonant","block1","1",-517.5
3,25,"0.5","0.5","Consonant","block1","1",1094.5
3,26,"-0.5","0.5","Vowel","block1","1",-486.5
3,27,"-0.5","0.5","Vowel","block1","1",-486.5
3,28,"0.5","0.5","Consonant","block1","0",566.5
3,29,"-0.5","0.5","Vowel","block1","1",-202.5
3,30,"0.5","0.5","Consonant","block1","1",339.5
3,31,"0.5","0.5","Consonant","block1","0",-556.5
3,32,"-0.5","0.5","Vowel","block1","1",704.5
3,33,"-0.5","-0.5","Vowel","block4","1",520.5
3,34,"0.5","-0.5","Consonant","block4","1",2832.5
3,35,"-0.5","-0.5","Vowel","block4","1",-42.5
3,36,"0.5","-0.5","Consonant","block4","1",10.5
3,37,"0.5","-0.5","Consonant","block4","1",3782.5
3,38,"-0.5","-0.5","Vowel","block4","1",-247.5
3,39,"-0.5","-0.5","Vowel","block4","1",29.5
3,40,"0.5","-0.5","Consonant","block4","1",2781.5
3,41,"0.5","-0.5","Consonant","block4","1",153.5
3,42,"-0.5","-0.5","Vowel","block4","1",278.5
3,43,"0.5","-0.5","Consonant","block4","1",-300.5
3,44,"-0.5","-0.5","Vowel","block4","1",532.5
3,45,"-0.5","-0.5","Vowel","block4","1",1169.5
3,46,"0.5","-0.5","Consonant","block4","0",143.5
3,47,"-0.5","-0.5","Vowel","block4","1",74.5
3,48,"0.5","-0.5","Consonant","block4","1",-209.5
3,49,"-0.5","-0.5","Vowel","block4","1",-81.5
3,50,"0.5","-0.5","Consonant","block4","0",288.5
3,51,"-0.5","-0.5","Vowel","block4","1",-30.5
3,52,"0.5","-0.5","Consonant","block4","1",541.5
3,53,"-0.5","-0.5","Vowel","block4","1",24.5
3,54,"0.5","-0.5","Consonant","block4","1",20.5
3,55,"0.5","-0.5","Consonant","block4","1",1104.5
3,56,"-0.5","-0.5","Vowel","block4","1",-298.5
3,57,"0.5","-0.5","Consonant","block4","0",-60.5
3,58,"-0.5","-0.5","Vowel","block4","1",-371.5
3,59,"-0.5","-0.5","Vowel","block4","1",91.5
3,60,"0.5","-0.5","Consonant","block4","0",-307.5
3,61,"0.5","-0.5","Consonant","block4","1",797.5
3,62,"-0.5","-0.5","Vowel","block4","1",-232.5
3,63,"-0.5","-0.5","Vowel","block4","1",209.5
3,64,"0.5","-0.5","Consonant","block4","1",319.5
4,1,"0.5","0.5","Consonant","block1","1",-60.875
4,2,"-0.5","0.5","Vowel","block1","1",-443.875
4,3,"-0.5","0.5","Vowel","block1","1",-92.875
4,4,"0.5","0.5","Consonant","block1","1",-478.875
4,5,"0.5","0.5","Consonant","block1","0",-365.875
4,6,"-0.5","0.5","Vowel","block1","1",-393.875
4,7,"0.5","0.5","Consonant","block1","0",55.125
4,8,"-0.5","0.5","Vowel","block1","1",177.125
4,9,"-0.5","0.5","Vowel","block1","1",623.125
4,10,"0.5","0.5","Consonant","block1","1",-270.875
4,11,"-0.5","0.5","Vowel","block1","1",NA
4,12,"0.5","0.5","Consonant","block1","0",388.125
4,13,"0.5","0.5","Consonant","block1","0",570.125
4,14,"-0.5","0.5","Vowel","block1","1",232.125
4,15,"-0.5","0.5","Vowel","block1","1",-244.875
4,16,"0.5","0.5","Consonant","block1","1",459.125
4,17,"-0.5","0.5","Vowel","block1","1",54.125
4,18,"0.5","0.5","Consonant","block1","1",1104.125
4,19,"0.5","0.5","Consonant","block1","1",-319.875
4,20,"-0.5","0.5","Vowel","block1","1",-545.875
4,21,"0.5","0.5","Consonant","block1","1",-219.875
4,22,"-0.5","0.5","Vowel","block1","1",-88.875
4,23,"-0.5","0.5","Vowel","block1","1",-444.875
4,24,"0.5","0.5","Consonant","block1","1",63.125
4,25,"0.5","0.5","Consonant","block1","1",1457.125
4,26,"-0.5","0.5","Vowel","block1","1",-464.875
4,27,"-0.5","0.5","Vowel","block1","1",-526.875
4,28,"0.5","0.5","Consonant","block1","1",2252.125
4,29,"-0.5","0.5","Vowel","block1","1",2.125
4,30,"0.5","0.5","Consonant","block1","1",110.125
4,31,"0.5","0.5","Consonant","block1","1",-167.875
4,32,"-0.5","0.5","Vowel","block1","1",-446.875
4,33,"-0.5","-0.5","Vowel","block4","1",368.75
4,34,"0.5","-0.5","Consonant","block4","0",2089.75
